"Name","Company","City","State","Salary","Url"
"Urgent - Business Analyst (0 to 2 years)","Staffigo Technical Services, LLC","Jacksonville","FL","","https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=4341&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6f808575&cb=1543611946100&jobListingId=3038336035"
"Business Systems Analyst with SQL","SGS Technologie","Jacksonville","FL","$55k-$90k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=4120&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bb5a411e&cb=1543611946101&jobListingId=3011145906"
"Business Systems Analyst","System Soft Technologies","Jacksonville","FL","$46k-$76k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=4322&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_81b4a0f0&cb=1543611946103&jobListingId=2988558554"
"Entry level business analyst","Staffigo Technical Services, LLC","Jacksonville","FL","","https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=4341&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f936cea3&cb=1543611946104&jobListingId=2617267811"
"IT - Business Systems Analyst - Data Analyst III","UNICOM TECHNOLOGIES INC","Jacksonville","FL","","https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=320811&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d1a0c91&cb=1543611946105&jobListingId=3042814363"
"Business System Analyst","System Soft Technologies","Jacksonville","FL","$46k-$76k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=4322&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_95c21c15&cb=1543611946106&jobListingId=2972554998"
"Business Analyst Level 1","Staffigo Technical Services, LLC","Jacksonville","FL","","https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=4341&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_85573584&cb=1543611946108&jobListingId=3028586881"
"Business Analyst Foreclosure","Ditech Financial LLC","Jacksonville","FL","$48k-$79k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=37049&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f17a3c13&cb=1543611946109&jobListingId=3042390940"
"Business Systems Analyst III","ISGF","Jacksonville","FL","","https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=4120&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_627c77f3&cb=1543611946110&jobListingId=3034153568"
"Business Intelligence Data Analyst","Tax Defense Network","Jacksonville","FL","$42k-$56k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=360145&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f4a1f53c&cb=1543611946112&jobListingId=2886321709"
"IT Business Lead Analyst","Citi","Jacksonville","FL","$82k-$126k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=133266&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_59f90d4d&cb=1543611946113&jobListingId=3040307680"
"Business Risk Intmd Analyst","Citi","Jacksonville","FL","","https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=133266&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_66fecb98&cb=1543611946114&jobListingId=3008899585"
"Business Systems Analyst V","Spectraforce Technologies Inc","Jacksonville","FL","","https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=69712&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_acbf6565&cb=1543611946115&jobListingId=3036887408"
"Business Systems Analyst V","Kforce","Jacksonville","FL","","https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=220345&s=58&guid=00000167667112b985530cbc9fd8c4ac&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_15b14b76&cb=1543611946116&jobListingId=3036903620"
